Condition,Car Make,is_luxury,Model,Model_encoded,Trim,Trim_encoded,Year,car_age,car_age_sqrt,Kilometers Numerical,age_km_interaction,Body Type,Number of Seats,Fuel,Transmission,Engine Size (cc),Regional Specs,Car License,Insurance,Car Customs,Body Condition,body_condition_encoded,Paint,paint_condition_encoded,interior_steering_wheel_controls,interior_airbags,technology_cruise_control,exterior_rear_sensors,exterior_keyless_entry,technology_tyre_pressure_monitoring,exterior_front_sensors,interior_electric_seat_control,technology_traction_control,technology_voice_control,technology_blind_spot_alert,technology_forward_collision_alert,technology_lane_departure_alert,technology_navigation_system_/_maps,Interior_Options_Count,Interior_Options_Count_cuberoot,Exterior_Options_Count,Exterior_Options_Count_cuberoot,Technology_Options_Count,Technology_Options_Count_cuberoot,tech_features_count,has_advanced_tech,Total_Options_Count,Total_Options_Count_cuberoot,weighted_options,Battery Capacity,Battery Range,log_price,maintenance_score,excellent_maintenance,size_class
Used,Volkswagen,0,ID 4,67,ID.4 Crozz Pro,92,2022,3,1.732050808,44612.75365,133838.261,SUV,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Fair (body needs work),2,Original Paint,3,1,1,1,1,1,1,1,1,1,0,0,1,1,1,11,2.223980091,9,2.080083823,14,2.410142264,6,1,34,3.239611801,11.6,79,349,10.1266711,5,0,large
Used,Tesla,1,Model 3,81,Performance,126,2022,3,1.732050808,34653.13431,103959.4029,Sedan,5,Electric,Automatic,5499,American Specs,Licensed,Compulsory Insurance,With Customs,Other,0,Other,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,2.351334688,9,2.080083823,20,2.714417617,8,1,42,3.476026645,14.6,79,500,10.14647295,0,0,medium
Used,Tesla,1,Model 3,81,Standard Plus,165,2019,6,2.449489743,200000,1200000,Sedan,5,Electric,Automatic,5499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,9,2.080083823,9,2.080083823,13,2.351334688,7,1,31,3.141380652,10.6,79,449,9.928228944,7,1,medium
New,Volkswagen,0,ID 6,68,ID.6 Crozz Pro,96,2024,1,1,0,0,SUV,7,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,2.5198421,14,2.410142264,23,2.84386698,8,1,53,3.756285754,18.2,79,500,10.46313191,7,1,large
Used,Fiat,0,500,5,500e,12,2015,10,3.16227766,105256.1846,1052561.846,HatchBack,4,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Good (body only has minor blemishes),3,Partially repainted,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,9,2.080083823,1,1,2,1.25992105,1,0,12,2.289428485,3.8,50,149,8.594339401,5,0,medium
Used,BMW,1,4 Series,3,i4 eDrive35,194,2023,2,1.414213562,14571.4408,29142.8816,Sedan,5,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Other,0,Other,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2.223980091,12,2.289428485,22,2.802039331,8,1,45,3.556893304,15.7,79,349,10.51870022,0,0,medium
Used,Mercedes Benz,1,EQE-Class,39,EQE 350+,53,2022,3,1.732050808,14667.77426,44003.32278,Sedan,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,11,2.223980091,18,2.620741394,8,1,37,3.332221852,12.9,79,500,10.87806606,7,1,medium
Used,Peugeot,0,E-2008,27,Active,14,2023,2,1.414213562,25178.74884,50357.49768,SUV,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,8,2,7,1.912931183,7,1.912931183,0,0,22,2.802039331,7.3,59,349,9.996567976,7,1,large
New,Neta,0,U,114,Pro 500,132,2023,2,1.414213562,0,0,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1.587401052,5,1.709975947,6,1.817120593,1,0,15,2.466212074,5.1,59,500,9.825580064,7,1,large
New,Volkswagen,0,ID 6,68,ID.6 Crozz Pro,96,2022,3,1.732050808,0,0,SUV,7,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,0,1,1,0,1,1,1,1,0,1,1,1,0,10,2.15443469,10,2.15443469,14,2.410142264,6,1,34,3.239611801,11.6,79,500,10.27508559,7,1,large
